Horodatage;Machine;Taux de production (u/min);Température (°C);Pression (bar);Défauts détectés;Énergie Consommée (kWh)
2024-03-01 16:50;Étiquetage;150;5.5;1.0;Rayures (1%);2.62
2024-03-01 16:55;Soufflage;148;134.9;8.0;Aucun;2.8
2024-03-01 17:00;Soufflage;118;125.2;4.9;Bulles d'air (2%);1.59
2024-03-01 17:05;Soufflage;103;190.3;8.0;Bulles d'air (2%);1.18
2024-03-01 17:10;Remplissage;131;7.3;1.0;Bulles d'air (2%);1.24
2024-03-01 17:15;Soufflage;105;111.4;6.4;Déformation (1%);2.83
2024-03-01 17:20;Carottage;133;5.5;1.0;Bulles d'air (2%);2.4
2024-03-01 17:25;Remplissage;110;4.6;1.0;Mauvais alignement (0.8%);1.37
2024-03-01 17:30;Étiquetage;131;5.6;1.0;Fuites (1.5%);1.67
2024-03-01 17:35;Carottage;127;5.2;1.0;Fuites (1.5%);2.77
2024-03-01 17:40;Soufflage;116;170.6;6.5;Mauvais alignement (0.8%);2.43
2024-03-01 17:45;Soufflage;144;171.6;7.6;Fuites (1.5%);2.33
2024-03-01 17:50;Carottage;102;7.1;1.0;Rayures (1%);2.44
2024-03-01 17:55;Soufflage;133;191.3;7.5;Mauvais alignement (0.8%);1.4
2024-03-01 18:00;Étiquetage;113;7.2;1.0;Aucun;1.49
2024-03-01 18:05;Soufflage;150;166.8;6.3;Fuites (1.5%);2.67
2024-03-01 18:10;Étiquetage;142;6.2;1.0;Bulles d'air (2%);2.93
2024-03-01 18:15;Soufflage;110;162.1;6.4;Fuites (1.5%);2.2
2024-03-01 18:20;Soufflage;101;180.7;7.8;Bulles d'air (2%);1.55
2024-03-01 18:25;Remplissage;118;7.4;1.0;Rayures (1%);1.36
2024-03-01 18:30;Carottage;121;7.4;1.0;Aucun;2.36
2024-03-01 18:35;Carottage;110;5.1;1.0;Aucun;2.69
2024-03-01 18:40;Étiquetage;118;6.3;1.0;Bulles d'air (2%);1.6
2024-03-01 18:45;Soufflage;101;193.3;7.6;Aucun;1.17
2024-03-01 18:50;Soufflage;105;156.2;5.8;Aucun;1.41
2024-03-01 18:55;Étiquetage;109;5.3;1.0;Aucun;1.86
2024-03-01 19:00;Soufflage;133;189.1;7.7;Aucun;2.03
2024-03-01 19:05;Soufflage;109;110.5;5.4;Bulles d'air (2%);2.77
2024-03-01 19:10;Soufflage;141;152.4;6.2;Aucun;2.54
2024-03-01 19:15;Soufflage;120;110.7;6.9;Déformation (1%);2.76
2024-03-01 19:20;Remplissage;131;5.3;1.0;Bulles d'air (2%);2.19
2024-03-01 19:25;Carottage;141;5.4;1.0;Aucun;1.01
2024-03-01 19:30;Étiquetage;150;6.4;1.0;Déformation (1%);1.97
2024-03-01 19:35;Carottage;143;6.8;1.0;Mauvais alignement (0.8%);2.08
2024-03-01 19:40;Étiquetage;127;6.6;1.0;Fuites (1.5%);1.29
2024-03-01 19:45;Remplissage;106;7.3;1.0;Déformation (1%);1.96
2024-03-01 19:50;Soufflage;140;196.3;6.4;Aucun;2.48
2024-03-01 19:55;Remplissage;130;6.7;1.0;Déformation (1%);1.68
2024-03-01 20:00;Étiquetage;129;6.0;1.0;Mauvais alignement (0.8%);2.89
2024-03-01 20:05;Étiquetage;116;7.0;1.0;Déformation (1%);2.6
2024-03-01 20:10;Étiquetage;102;7.2;1.0;Bulles d'air (2%);2.98
2024-03-01 20:15;Soufflage;133;147.9;5.1;Mauvais alignement (0.8%);2.07
2024-03-01 20:20;Étiquetage;136;6.9;1.0;Mauvais alignement (0.8%);2.86
2024-03-01 20:25;Soufflage;119;161.6;6.9;Aucun;1.97
2024-03-01 20:30;Étiquetage;118;6.0;1.0;Mauvais alignement (0.8%);2.57
2024-03-01 20:35;Étiquetage;106;4.9;1.0;Fuites (1.5%);2.21
2024-03-01 20:40;Remplissage;123;5.7;1.0;Fuites (1.5%);1.72
2024-03-01 20:45;Carottage;114;5.5;1.0;Bulles d'air (2%);2.97
2024-03-01 20:50;Soufflage;114;190.1;7.9;Rayures (1%);2.47
2024-03-01 20:55;Carottage;126;5.1;1.0;Rayures (1%);1.69
2024-03-01 21:00;Étiquetage;132;6.5;1.0;Bulles d'air (2%);1.33
2024-03-01 21:05;Soufflage;127;101.5;6.2;Aucun;1.05
2024-03-01 21:10;Soufflage;147;133.1;6.7;Aucun;2.55
2024-03-01 21:15;Carottage;123;5.2;1.0;Mauvais alignement (0.8%);2.54
2024-03-01 21:20;Soufflage;121;144.4;8.3;Bulles d'air (2%);2.36
2024-03-01 21:25;Étiquetage;119;4.7;1.0;Aucun;1.03
2024-03-01 21:30;Soufflage;101;126.4;5.4;Déformation (1%);1.09
2024-03-01 21:35;Carottage;116;7.4;1.0;Déformation (1%);2.64
2024-03-01 21:40;Carottage;149;6.6;1.0;Bulles d'air (2%);1.58
2024-03-01 21:45;Carottage;128;6.1;1.0;Bulles d'air (2%);1.9
2024-03-01 21:50;Étiquetage;138;6.4;1.0;Déformation (1%);1.41
2024-03-01 21:55;Étiquetage;146;4.5;1.0;Mauvais alignement (0.8%);2.75
2024-03-01 22:00;Étiquetage;150;6.1;1.0;Fuites (1.5%);1.04
2024-03-01 22:05;Soufflage;100;119.7;5.3;Rayures (1%);2.63
2024-03-01 22:10;Soufflage;138;197.7;4.6;Déformation (1%);1.26
2024-03-01 22:15;Remplissage;107;5.8;1.0;Mauvais alignement (0.8%);1.38
2024-03-01 22:20;Étiquetage;141;5.9;1.0;Déformation (1%);1.85
2024-03-01 22:25;Soufflage;115;125.4;8.4;Bulles d'air (2%);2.43
2024-03-01 22:30;Étiquetage;103;5.8;1.0;Rayures (1%);1.57
2024-03-01 22:35;Étiquetage;133;4.5;1.0;Rayures (1%);2.83
2024-03-01 22:40;Remplissage;119;7.0;1.0;Bulles d'air (2%);1.08
2024-03-01 22:45;Remplissage;131;6.9;1.0;Déformation (1%);2.4
2024-03-01 22:50;Remplissage;134;5.2;1.0;Aucun;1.92
2024-03-01 22:55;Remplissage;147;7.4;1.0;Mauvais alignement (0.8%);2.46
2024-03-01 23:00;Carottage;136;5.5;1.0;Mauvais alignement (0.8%);1.48
2024-03-01 23:05;Soufflage;149;162.8;7.9;Bulles d'air (2%);2.81
2024-03-01 23:10;Carottage;127;5.7;1.0;Mauvais alignement (0.8%);1.81
2024-03-01 23:15;Étiquetage;132;6.4;1.0;Aucun;1.05
2024-03-01 23:20;Étiquetage;104;5.7;1.0;Bulles d'air (2%);1.29
2024-03-01 23:25;Carottage;138;4.6;1.0;Aucun;2.33
2024-03-01 23:30;Étiquetage;146;5.1;1.0;Déformation (1%);2.88
2024-03-01 23:35;Soufflage;116;113.1;7.3;Mauvais alignement (0.8%);2.16
2024-03-01 23:40;Soufflage;124;104.8;5.6;Rayures (1%);1.56
2024-03-01 23:45;Remplissage;131;4.5;1.0;Rayures (1%);1.16
2024-03-01 23:50;Soufflage;107;166.2;7.5;Aucun;1.68
2024-03-01 23:55;Remplissage;139;5.3;1.0;Mauvais alignement (0.8%);2.14
2024-03-02 00:00;Remplissage;107;5.7;1.0;Fuites (1.5%);1.32
2024-03-02 00:05;Carottage;131;5.2;1.0;Bulles d'air (2%);2.65
2024-03-02 00:10;Carottage;119;6.5;1.0;Mauvais alignement (0.8%);2.21
2024-03-02 00:15;Soufflage;122;137.7;6.8;Fuites (1.5%);2.46
2024-03-02 00:20;Étiquetage;119;5.8;1.0;Aucun;1.01
2024-03-02 00:25;Carottage;110;5.4;1.0;Fuites (1.5%);1.03
2024-03-02 00:30;Soufflage;132;151.9;6.7;Rayures (1%);2.75
2024-03-02 00:35;Remplissage;121;5.4;1.0;Fuites (1.5%);1.67
2024-03-02 00:40;Remplissage;110;5.2;1.0;Déformation (1%);2.83
2024-03-02 00:45;Soufflage;141;150.6;4.9;Aucun;2.55
2024-03-02 00:50;Remplissage;148;7.5;1.0;Déformation (1%);1.55
2024-03-02 00:55;Carottage;148;4.5;1.0;Mauvais alignement (0.8%);2.57
2024-03-02 01:00;Remplissage;122;4.9;1.0;Mauvais alignement (0.8%);1.75
2024-03-02 01:05;Remplissage;123;4.8;1.0;Aucun;1.07
2024-03-02 01:10;Soufflage;110;121.2;6.6;Bulles d'air (2%);2.88
2024-03-02 01:15;Remplissage;143;6.9;1.0;Aucun;1.1
2024-03-02 01:20;Carottage;132;6.5;1.0;Aucun;1.54
2024-03-02 01:25;Carottage;113;5.5;1.0;Aucun;2.31
2024-03-02 01:30;Soufflage;143;140.1;6.0;Fuites (1.5%);1.7
2024-03-02 01:35;Remplissage;125;5.6;1.0;Mauvais alignement (0.8%);2.42
2024-03-02 01:40;Remplissage;139;5.2;1.0;Aucun;2.34
2024-03-02 01:45;Étiquetage;138;7.0;1.0;Mauvais alignement (0.8%);1.82
2024-03-02 01:50;Étiquetage;119;6.9;1.0;Bulles d'air (2%);2.51
2024-03-02 01:55;Soufflage;103;182.7;6.1;Bulles d'air (2%);1.78
2024-03-02 02:00;Soufflage;103;181.4;7.0;Rayures (1%);1.13
2024-03-02 02:05;Soufflage;150;179.3;8.5;Rayures (1%);2.45
2024-03-02 02:10;Soufflage;144;179.2;7.6;Aucun;2.06
2024-03-02 02:15;Soufflage;116;109.4;5.4;Bulles d'air (2%);2.36
2024-03-02 02:20;Étiquetage;118;7.3;1.0;Rayures (1%);1.63
2024-03-02 02:25;Carottage;116;5.2;1.0;Fuites (1.5%);1.08
2024-03-02 02:30;Remplissage;137;6.4;1.0;Rayures (1%);2.57
2024-03-02 02:35;Étiquetage;135;6.8;1.0;Déformation (1%);2.06
2024-03-02 02:40;Carottage;128;6.7;1.0;Déformation (1%);1.08
2024-03-02 02:45;Carottage;131;6.3;1.0;Aucun;2.84
2024-03-02 02:50;Soufflage;140;127.4;8.0;Mauvais alignement (0.8%);1.99
2024-03-02 02:55;Soufflage;104;114.3;6.4;Déformation (1%);1.44
2024-03-02 03:00;Remplissage;123;6.3;1.0;Fuites (1.5%);2.91
2024-03-02 03:05;Soufflage;146;107.3;5.9;Déformation (1%);2.84
2024-03-02 03:10;Remplissage;108;6.1;1.0;Mauvais alignement (0.8%);1.41
2024-03-02 03:15;Carottage;114;5.4;1.0;Rayures (1%);1.35
2024-03-02 03:20;Étiquetage;111;4.8;1.0;Mauvais alignement (0.8%);2.26
2024-03-02 03:25;Étiquetage;113;5.5;1.0;Bulles d'air (2%);2.81
2024-03-02 03:30;Étiquetage;110;5.6;1.0;Fuites (1.5%);2.82
2024-03-02 03:35;Étiquetage;121;5.7;1.0;Déformation (1%);2.57
2024-03-02 03:40;Carottage;108;4.8;1.0;Bulles d'air (2%);2.57
2024-03-02 03:45;Carottage;119;7.1;1.0;Rayures (1%);1.37
2024-03-02 03:50;Carottage;106;5.0;1.0;Rayures (1%);2.25
2024-03-02 03:55;Étiquetage;123;5.4;1.0;Mauvais alignement (0.8%);1.29
2024-03-02 04:00;Soufflage;116;138.8;7.7;Mauvais alignement (0.8%);2.37
2024-03-02 04:05;Carottage;133;5.7;1.0;Aucun;1.17
2024-03-02 04:10;Remplissage;114;6.3;1.0;Mauvais alignement (0.8%);2.9
2024-03-02 04:15;Soufflage;132;175.1;5.6;Bulles d'air (2%);1.37
2024-03-02 04:20;Étiquetage;125;5.2;1.0;Aucun;1.93
2024-03-02 04:25;Carottage;102;4.8;1.0;Déformation (1%);1.26
2024-03-02 04:30;Carottage;134;6.7;1.0;Mauvais alignement (0.8%);1.33
2024-03-02 04:35;Étiquetage;141;6.9;1.0;Rayures (1%);1.78
2024-03-02 04:40;Soufflage;143;154.4;7.4;Mauvais alignement (0.8%);2.06
2024-03-02 04:45;Soufflage;104;156.7;6.1;Mauvais alignement (0.8%);2.63
2024-03-02 04:50;Étiquetage;113;4.5;1.0;Bulles d'air (2%);2.92
2024-03-02 04:55;Remplissage;122;4.8;1.0;Aucun;2.37
2024-03-02 05:00;Carottage;122;4.9;1.0;Déformation (1%);2.0
2024-03-02 05:05;Étiquetage;149;4.6;1.0;Bulles d'air (2%);2.95
2024-03-02 05:10;Soufflage;122;130.4;8.3;Déformation (1%);1.38
2024-03-02 05:15;Soufflage;110;198.2;4.6;Aucun;2.79
2024-03-02 05:20;Étiquetage;150;5.7;1.0;Fuites (1.5%);2.61
2024-03-02 05:25;Carottage;139;5.8;1.0;Fuites (1.5%);2.02
2024-03-02 05:30;Soufflage;109;150.4;6.7;Mauvais alignement (0.8%);1.63
2024-03-02 05:35;Carottage;100;4.7;1.0;Déformation (1%);2.55
2024-03-02 05:40;Étiquetage;105;5.6;1.0;Mauvais alignement (0.8%);1.32
2024-03-02 05:45;Remplissage;125;6.7;1.0;Déformation (1%);2.05
2024-03-02 05:50;Étiquetage;133;5.8;1.0;Déformation (1%);1.41
2024-03-02 05:55;Remplissage;124;5.3;1.0;Rayures (1%);1.89
2024-03-02 06:00;Soufflage;114;173.0;6.4;Bulles d'air (2%);1.5
2024-03-02 06:05;Étiquetage;138;5.6;1.0;Mauvais alignement (0.8%);2.39
2024-03-02 06:10;Remplissage;107;6.1;1.0;Bulles d'air (2%);1.03
2024-03-02 06:15;Remplissage;122;7.2;1.0;Fuites (1.5%);1.57
2024-03-02 06:20;Remplissage;144;6.6;1.0;Rayures (1%);1.92
2024-03-02 06:25;Carottage;112;4.7;1.0;Bulles d'air (2%);2.25
2024-03-02 06:30;Étiquetage;102;5.1;1.0;Bulles d'air (2%);1.72
2024-03-02 06:35;Remplissage;117;4.9;1.0;Rayures (1%);1.22
2024-03-02 06:40;Remplissage;131;6.8;1.0;Bulles d'air (2%);1.83
2024-03-02 06:45;Étiquetage;118;6.1;1.0;Mauvais alignement (0.8%);1.37
2024-03-02 06:50;Soufflage;113;115.2;7.3;Aucun;2.88
2024-03-02 06:55;Soufflage;139;170.4;5.1;Bulles d'air (2%);2.43
2024-03-02 07:00;Remplissage;100;6.6;1.0;Fuites (1.5%);2.61
2024-03-02 07:05;Carottage;105;5.6;1.0;Mauvais alignement (0.8%);2.91
2024-03-02 07:10;Soufflage;142;174.6;7.2;Aucun;2.95
2024-03-02 07:15;Étiquetage;114;4.8;1.0;Rayures (1%);1.05
2024-03-02 07:20;Soufflage;150;157.9;7.1;Fuites (1.5%);2.56
2024-03-02 07:25;Remplissage;131;6.3;1.0;Déformation (1%);2.52
2024-03-02 07:30;Étiquetage;102;5.4;1.0;Déformation (1%);1.32
2024-03-02 07:35;Soufflage;128;147.9;7.0;Rayures (1%);1.89
2024-03-02 07:40;Carottage;110;7.4;1.0;Bulles d'air (2%);2.47
2024-03-02 07:45;Soufflage;139;188.6;6.1;Bulles d'air (2%);1.82
2024-03-02 07:50;Remplissage;146;6.6;1.0;Aucun;1.57
2024-03-02 07:55;Carottage;126;4.8;1.0;Bulles d'air (2%);2.15
2024-03-02 08:00;Soufflage;146;135.9;8.3;Déformation (1%);1.31
2024-03-02 08:05;Carottage;105;6.5;1.0;Fuites (1.5%);2.99
2024-03-02 08:10;Étiquetage;113;5.3;1.0;Aucun;1.83
2024-03-02 08:15;Remplissage;137;7.4;1.0;Aucun;2.17
2024-03-02 08:20;Soufflage;136;161.7;7.0;Mauvais alignement (0.8%);1.27
2024-03-02 08:25;Soufflage;145;199.6;6.0;Bulles d'air (2%);1.26
2024-03-02 08:30;Remplissage;149;5.3;1.0;Mauvais alignement (0.8%);1.04
2024-03-02 08:35;Étiquetage;102;4.9;1.0;Fuites (1.5%);2.08
2024-03-02 08:40;Remplissage;127;5.8;1.0;Aucun;2.94
2024-03-02 08:45;Carottage;143;6.1;1.0;Déformation (1%);2.69
2024-03-02 08:50;Soufflage;100;140.9;6.6;Rayures (1%);1.3
2024-03-02 08:55;Carottage;138;7.0;1.0;Aucun;2.01
2024-03-02 09:00;Remplissage;121;5.8;1.0;Fuites (1.5%);2.53
2024-03-02 09:05;Soufflage;115;119.7;5.1;Déformation (1%);2.66
2024-03-02 09:10;Carottage;142;7.0;1.0;Mauvais alignement (0.8%);1.76
2024-03-02 09:15;Carottage;113;6.9;1.0;Bulles d'air (2%);2.35
2024-03-02 09:20;Carottage;140;7.0;1.0;Mauvais alignement (0.8%);2.33
2024-03-02 09:25;Soufflage;129;117.6;7.4;Déformation (1%);2.44
2024-03-02 09:30;Remplissage;101;7.0;1.0;Déformation (1%);1.22
2024-03-02 09:35;Carottage;123;4.9;1.0;Rayures (1%);2.46
2024-03-02 09:40;Étiquetage;111;5.4;1.0;Déformation (1%);1.72
2024-03-02 09:45;Soufflage;104;187.4;6.4;Fuites (1.5%);2.39
2024-03-02 09:50;Étiquetage;113;7.4;1.0;Déformation (1%);2.29
2024-03-02 09:55;Remplissage;109;5.4;1.0;Fuites (1.5%);1.22
2024-03-02 10:00;Remplissage;136;5.9;1.0;Rayures (1%);1.24
2024-03-02 10:05;Remplissage;108;6.2;1.0;Déformation (1%);1.24
2024-03-02 10:10;Soufflage;131;123.9;7.8;Mauvais alignement (0.8%);2.47
2024-03-02 10:15;Carottage;104;6.7;1.0;Rayures (1%);1.27
2024-03-02 10:20;Étiquetage;120;6.7;1.0;Mauvais alignement (0.8%);2.42
2024-03-02 10:25;Remplissage;150;7.3;1.0;Fuites (1.5%);1.32
2024-03-02 10:30;Soufflage;103;165.9;6.8;Mauvais alignement (0.8%);1.73
2024-03-02 10:35;Étiquetage;132;7.1;1.0;Aucun;2.52
2024-03-02 10:40;Remplissage;141;5.1;1.0;Rayures (1%);1.28
2024-03-02 10:45;Étiquetage;111;6.9;1.0;Rayures (1%);2.0
2024-03-02 10:50;Remplissage;128;5.0;1.0;Bulles d'air (2%);2.96
2024-03-02 10:55;Soufflage;130;163.5;7.7;Mauvais alignement (0.8%);2.43
2024-03-02 11:00;Soufflage;115;178.6;5.3;Fuites (1.5%);1.86
2024-03-02 11:05;Soufflage;134;158.4;7.1;Rayures (1%);1.84
2024-03-02 11:10;Étiquetage;123;6.8;1.0;Bulles d'air (2%);2.21
2024-03-02 11:15;Soufflage;108;125.8;7.7;Fuites (1.5%);2.96
2024-03-02 11:20;Carottage;126;7.4;1.0;Fuites (1.5%);1.68
2024-03-02 11:25;Étiquetage;107;7.3;1.0;Déformation (1%);2.6
2024-03-02 11:30;Remplissage;107;5.1;1.0;Aucun;1.73
2024-03-02 11:35;Soufflage;138;140.6;8.5;Fuites (1.5%);1.33
2024-03-02 11:40;Carottage;125;6.0;1.0;Rayures (1%);2.47
2024-03-02 11:45;Carottage;150;7.0;1.0;Bulles d'air (2%);1.37
2024-03-02 11:50;Remplissage;122;7.1;1.0;Rayures (1%);2.76
2024-03-02 11:55;Soufflage;114;196.8;7.4;Aucun;1.59
2024-03-02 12:00;Carottage;138;7.1;1.0;Fuites (1.5%);2.69
2024-03-02 12:05;Étiquetage;125;5.4;1.0;Fuites (1.5%);1.32
2024-03-02 12:10;Remplissage;108;6.8;1.0;Bulles d'air (2%);2.37
2024-03-02 12:15;Étiquetage;135;6.3;1.0;Bulles d'air (2%);1.92
2024-03-02 12:20;Soufflage;113;163.7;5.4;Déformation (1%);1.23
2024-03-02 12:25;Remplissage;138;4.8;1.0;Aucun;1.88
